id,Channel_Name,Channel_Id,Comment_Id,Comment_Text,Comment_Author,Comment_PublishedAt,Video_Id
1,Bayya Sunny Yadav,UCbbPEQbZu7QvuELOJT4n0tA,Comment_Id_1,Bro you my name In video giri,praveen kumar,2023-06-20 08:34:22,qSSqIE44wjU
2,Bayya Sunny Yadav,UCbbPEQbZu7QvuELOJT4n0tA,Comment_Id_2,Hii annaya happy journey ❤❤❤❤❤,Telugu tech hari,2023-06-19 05:01:34,qSSqIE44wjU
3,Bayya Sunny Yadav,UCbbPEQbZu7QvuELOJT4n0tA,Comment_Id_3,జీవితాన్ని ఎంజాయ్ చేస్తున్న వ్ అన్న❤❤❤,PS Think Positive 🥰🥰,2023-06-18 12:26:13,qSSqIE44wjU
4,Bayya Sunny Yadav,UCbbPEQbZu7QvuELOJT4n0tA,Comment_Id_4,Naku ride cheyali ani vundhi,govardhan reddy,2023-06-07 17:32:01,qSSqIE44wjU
5,Bayya Sunny Yadav,UCbbPEQbZu7QvuELOJT4n0tA,Comment_Id_5,Take care ur health annayya,Amma,2023-06-07 03:49:04,qSSqIE44wjU
6,The Fashion Verge,UCuzDC9g05hef_fCN56wci4g,Comment_Id_1,Villain Black gudda pelipoddi Scent... Danni suggest cheyakapodam me taste ento telusthundi 😂,Sukumar Dinesh,2023-06-15 02:33:57,_eShpa79WYI
7,The Fashion Verge,UCuzDC9g05hef_fCN56wci4g,Comment_Id_2,❤,Shijun Vishnu,2023-05-15 11:33:51,_eShpa79WYI
8,The Fashion Verge,UCuzDC9g05hef_fCN56wci4g,Comment_Id_3,Bro manchi soap recommend chai bro,James,2023-03-23 02:40:51,_eShpa79WYI
9,The Fashion Verge,UCuzDC9g05hef_fCN56wci4g,Comment_Id_4,Super🙂,ER music,2023-02-08 00:06:20,_eShpa79WYI
10,The Fashion Verge,UCuzDC9g05hef_fCN56wci4g,Comment_Id_5,Dot eau de parfum,Arvind Dasarapu,2023-01-21 16:52:35,_eShpa79WYI
