id,Channel_Name,Channel_Id,Video_Id,Video_Name,Video_Description,PublishedAt,View_Count,Like_Count,Dislike_Count,Favorite_Count,Comment_Count,Duration,Thumbnail,Caption_Status
1,Bayya Sunny Yadav,UCbbPEQbZu7QvuELOJT4n0tA,qSSqIE44wjU,Crossing 🇲🇾 Malaysia- Thailand 🇹🇭 border on Indian bike #bayyasunnyyadav #shorts,,2022-08-12 04:22:00,1072034,0,0,0,156,PT28S,https://i.ytimg.com/vi/qSSqIE44wjU/default.jpg,false
2,The Fashion Verge,UCuzDC9g05hef_fCN56wci4g,_eShpa79WYI,BEST BUDGET PERFUMES 🔥👌🏻 #shorts,"Ustra base camp : https://amzn.to/3MlILED
Man company black : https://amzn.to/3zhZCVO
Beardo whisky smoke : https://amzn.to/3mdX2Zp",2022-06-05 05:06:20,1568310,167588,0,0,237,PT45S,https://i.ytimg.com/vi/_eShpa79WYI/default.jpg,false
3,Aye Jude,UCq9kaXFyF2b6oXQ5veWdvog,s8h9UVeytT0,Chemical Free *HAIR-OILS*🥥🧴 Under 249/- 💸For COLLEGE Students #shorts #hairoil,"#shorts #ayejude #hairoil #haircare #mensfashion 

TITLE: Chemical Free *HAIR-OILS*🥥🧴 Under 249/- 💸For COLLEGE Students #shorts #hairoil",2022-07-02 12:28:17,2594936,260583,0,0,1090,PT55S,https://i.ytimg.com/vi/s8h9UVeytT0/default.jpg,false
4,JerryRigEverything,UCWFKCr40YwOZQx8FHU_ZqqQ,cWdJZgMJ3J0,Rivian 10 day Phantom Drain Test - In WINTER!,Every electric vehicle will slowly loose juice when sitting for long periods of time. There are electronics in there that are constantly turned on. today we find out what the long term phantom drain is on the Rivian R1T.,2023-03-26 19:56:03,245291,14738,0,0,349,PT46S,https://i.ytimg.com/vi/cWdJZgMJ3J0/default.jpg,false
5,AcademicEnglishHelp,UCQ3A7Dnyz1_Fxaa5BCzAPMA,Yow13z6Yex8,IELTS Speaking Band 9 with an exceptional vocabulary,"IELTS interview full score 9, Bhopal, Madhya Pradesh, India gives clear answers about magazines and restaurants, accurate word choice and expressions. Check out the video here at: https://youtu.be/cbMrNxlsUU8",2023-03-15 14:38:15,4033520,83771,0,0,248,PT42S,https://i.ytimg.com/vi/Yow13z6Yex8/default.jpg,false
6,Apna College,UCBwmMxybNva6P_5VmxjzwqA,uoE5wQGCAwY,Puzzles for Software Engineers | Microsoft #2,"#shorts
Are you worried about placements/internships? Want to prepare for companies like Microsoft, Amazon & Google? Join ALPHA.
🔥Alpha Placement Batch 2 ❤️: https://www.apnacollege.in/course/alpha-batch-2
Link for International Student’s:  https://buy.stripe.com/eVadR2afi7VIaB2eUW
In case the website crashes due to your heavy response then use this second link.
Direct RazorPay Link for Alpha Batch 2 : https://rzp.io/l/alpha-batch-2

------------------------
Join the Apni Community🔥 : https://telegram.me/+k4rdgTPwmm5kMGVl
-------------------------
🔥 Java Placement Course(with DSA) : https://bit.ly/JavaPlaylistComplete
🔥 Complete C Course : https://bit.ly/FullTutorialC
🔥 C++ Placement Course (DSA) : https://bit.ly/CppPlaylistComplete
🔥 Guaranteed Placement Sheet : https://bit.ly/DSASheet

Want to Work with us? Apply for Job here : https://bit.ly/workWithUs",2022-09-27 13:41:58,2620233,142499,0,0,2590,PT41S,https://i.ytimg.com/vi/uoE5wQGCAwY/default.jpg,false
7,Prasadtechintelugu,UCb-xXZ7ltTvrh9C6DgB9H-Q,Xa5zhco-0Z0,అవతలి వ్యక్తి కి కాల్ రికార్డు వినపడ కుండా ఎలా చేయాలి ? How Disable Call recording announcement? E#3,Prasadtechshorts E#3,2022-03-22 09:54:08,1787936,145921,0,0,1160,PT59S,https://i.ytimg.com/vi/Xa5zhco-0Z0/default.jpg,false
8,Harsha Sai - For You Telugu,UCWEqIFOOjmL_olrETpSnGOQ,1t6BriJjvI8,"paying 10,000 for a 2 sec rickshaw ride",,2022-05-21 10:02:50,4205590,761756,0,0,5738,PT24S,https://i.ytimg.com/vi/1t6BriJjvI8/default.jpg,false
9,India Today,UCYPvAwZP8pZhSMW8qs7cVCw,fiDmXOceGJk,Noida Supertech Twin Towers Demolished Video: Supertech Noida Twin Towers Razed To Dust In 9 Seconds,"Video Of Twin Tower Demolition: Supertech Noida Twin Towers come crashing down. The detonation button was pressed, the explosives were triggered and the 100-metre-tall Supertech Twin Towers collapsed like a house of cards. As cheers erupted, a huge cloud of dust has engulfed the demolition site.

#noidanews #twintowers #twintowedemolition 

Subscribe to India Today for NEW VIDEOS EVERY DAY and make sure to enable Push Notifications so you'll never miss a new video. 

All you need to do is PRESS THE BELL ICON next to the Subscribe button! 

India Today TV is India's leading English News Channel. India Today YouTube channel offers latest news videos on Politics, Business, Cricket, Bollywood, Lifestyle, Auto, Technology, Travel, Entertainment and a lot more. 

Stay tuned for latest updates and in-depth analysis of news from India and around the world! 

Download App: https://indiatoday.link/wHaj
Follow us: Official website: https://www.indiatoday.in/

Twitter: https://twitter.com/IndiaToday 

Facebook: https://www.facebook.com/IndiaToday",2022-08-28 09:17:10,3086248,32193,0,0,1803,PT42S,https://i.ytimg.com/vi/fiDmXOceGJk/default.jpg,false
10,Fit Tuber,UCYC6Vcczj8v-Y5OgpEJTFBw,k77F184hi5g,Cure Thyroid Problem Permanently in 4 Steps (100% Guaranteed),"Cure Thyroid Problem Permanently in 4 Simple Steps. Hypothyroid and Hyperthyroid problem solution in 4 steps. Thyroid Problems in women and men. The symptoms of thyroid and permanent cure.

Buy Mamaearth Vitamin C Face Wash & Face Mask - https://bit.ly/2Ukr28h
(Apply Discount Coupon FITTUBER21 to get 21% OFF)
Buy from Amazon - https://amzn.to/3dz4t6F

Hyperthyroidism and hypothyroidism are the two most common endocrine disorders which originate as a result of malfunctioning of the thyroid gland. When this important butterfly shaped gland in your neck that plays a major role in the metabolism, growth and development of the human body doesn’t work at it’s peak efficiency it causes an overall imbalance which results in the form of fatigue, sudden increase or decrease in weight, hair fall, bulging eyes, moong swings, depression tendencies, menstrual disorders and even infertility. No doubt, thyroid malfunction is a serious disorder but I assure that it can permanently cured in 4 simple steps. Modern Science however says that thyroid problems cannot be cured they can only be managed. But that’s where Ayurveda comes to rescue. In this video I am going to share with you a clear roadmap as to how you can root out the thyroid problem from it’s very root cause.

01:25 - Step 1 -  Cure Thyroid problem permanently
02:22 - Step 2 -  Cure Thyroid problem permanently
04:17 - Step 3 - Cure Thyroid problem permanently
05:36 - Step 4 - Cure Thyroid problem permanently

That’s all. Now the ball is in your court. I assure that if you religiously follow these practices depending on for how long you have been suffering from it you will successfully be able to heal thyroid in 2–3 months. I guarantee that.

FOODS & PRODUCTS RELATED TO THE VIDEO

100% Cold Pressed Walnut Oil (Option 1) - https://amzn.to/2YwS6Uq
100% Cold Pressed Organic Walnut Oil (Option 2) - https://amzn.to/389UUKo
100% Cold Pressed Walnut OIl (Option 3) - https://amzn.to/3ezQMpt
Organic Coriander Seeds (Option 1) - https://amzn.to/3eC7AMf
Coriander Seeds (Option 2) - https://amzn.to/2A5RXOn
Organic Coriander Seeds (Option 3) - https://amzn.to/383nZHp
Mortar Pestle (Marble) - https://amzn.to/2Ywx2x8
Mortar Pestle (Stone) - https://amzn.to/2BB2L7r

✅  SUPPORT MY WORK and get exclusive perks 
https://www.youtube.com/channel/UCYC6Vcczj8v-Y5OgpEJTFBw/join

INSTAGRAM :  Follow and participate in Q&A session every Saturday at 11 AM 
https://www.instagram.com/fittuber

RECOMMENDED VIDEOS FOR THYROID

Cure PCOS/PCOD Problem Permanently in 6 Steps (100% Guaranteed)
https://www.youtube.com/watch?v=wY44LKLysHg&t=398s

SAY GOODBYE to Period Problems Forever (Irregular Periods, Menstrual Cramps, PMS, Over Bleeding etc)
https://www.youtube.com/watch?v=lGUoBm0FCZQ&t=487s

Full day Diet Plan to Cure PCOS/PCOD Permanently
https://www.youtube.com/watch?v=x3MVEwkIQro&t=474s

15 Min Daily Yoga Routine for Beginners (Follow Along) (You can include this 15 minute routine along with the ones discussed in the video for more benefit)
https://www.youtube.com/watch?v=s2NQhpFGIOg&t=3s

NO GYM | FULL BODY WORKOUT (Light workout, ideal for women)
https://www.youtube.com/watch?v=tamUJ23i33k&t=145s

The Only Diet Plan That Ayurveda Recommends (Men & Women)
https://www.youtube.com/watch?v=6ZUFT0CwU1w&t=1s

Full day of Eating - Fat Loss Diet (Indian Style)
https://www.youtube.com/watch?v=tLLO3tEMkyk&t=494s

Milk in India Ranked from Worst to Best
https://www.youtube.com/watch?v=moZjGDwG5UU&t=6s

7 Products for Weight Loss That Need Your Attention!
https://www.youtube.com/watch?v=YN7kv9j4J_4

10 Cookwares in India Ranked from Worst to Best
https://www.youtube.com/watch?v=_eljsPT1Qws&t=516s

The Truth About Mineral Water & The Best Water Purifier in India
https://www.youtube.com/watch?v=kmKf4hZJtq0&t=627s

One Day Personal Body Care Routine to do once a month (Lockdown Special)
https://www.youtube.com/watch?v=HLfBMPErl3Q&t=12s

INSTAGRAM : @fittuber 
https://www.instagram.com/fittuber

SUPPORT MY WORK
https://www.youtube.com/channel/UCYC6Vcczj8v-Y5OgpEJTFBw/join

08:16 - Video Partner - Mamaearth 
Buy Mamaearth Vitamin C Face Wash & Face Mask - https://bit.ly/2Ukr28h
(Apply Discount Coupon FITTUBER21 to get 21% OFF)

Music Credits : YouTube Audio Library 

I wish you good health.
Fit Tuber",2020-06-26 13:30:06,6583630,226182,0,0,18477,PT9M38S,https://i.ytimg.com/vi/k77F184hi5g/default.jpg,false
